INPUT:option_a	INPUT:option_b	INPUT:option_c	INPUT:option_d	INPUT:question	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
обезьяна	лев	олень	собака	У какого из этих животных зубы больше всего похожи на зубы человека?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f53e1bebf42ba06e3cf	00028677a5--656635e993eb880e6311dc31	00028677a5--65663f53e1bebf42ba06e3cf	00028677a5--65663f53e1bebf42ba06e3cd	6098334f7d94b977c3000127a830e970	APPROVED	2023-11-28T19:28:19.674	2023-11-28T19:29:13.621	2023-11-28T19:29:13.621	0.0320000000
2 грамма	15 граммов	10 граммов	5 граммов	Если к 5 граммам соли добавить 10 граммов воды, сколько соленой воды получится?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f55e1bebf42ba06e407	00028677a5--656635eb93eb880e6311dd96	00028677a5--65663f55e1bebf42ba06e407	00028677a5--65663f55e1bebf42ba06e405	b4929dd33fb9f6f470225d5ad75e81c6	APPROVED	2023-11-28T19:28:21.095	2023-11-28T19:29:00.700	2023-11-28T19:29:00.700	0.0300000000
взять новую лампочку, чтобы закончить тест	спрятать разбитое стекло под стол	попросить своего партнера помочь подобрать разбитое стекло	сказать своему учителю, что она разбила лампочку	Пока Анна проверяла схему, она уронила лампочку. Что может быть самым безопасным для Анны?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663f55e1bebf42ba06e407	00028677a5--656635d172d52b5a0213febb	00028677a5--65663f55e1bebf42ba06e407	00028677a5--65663f55e1bebf42ba06e405	b4929dd33fb9f6f470225d5ad75e81c6	APPROVED	2023-11-28T19:28:21.095	2023-11-28T19:29:00.700	2023-11-28T19:29:00.700	0.0300000000
рептилии	птицы	млекопитающие	земноводные	Один класс животных вылупляется из яйца, в молодом возрасте дышит через жабры, а будучи взрослым, в основном живет на суше. К какой группе относится это животное?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663f55e1bebf42ba06e407	00028677a5--656635e893eb880e6311db9a	00028677a5--65663f55e1bebf42ba06e407	00028677a5--65663f55e1bebf42ba06e405	b4929dd33fb9f6f470225d5ad75e81c6	APPROVED	2023-11-28T19:28:21.095	2023-11-28T19:29:00.700	2023-11-28T19:29:00.700	0.0300000000
взять новую лампочку, чтобы закончить тест	спрятать разбитое стекло под стол	попросить своего партнера помочь подобрать разбитое стекло	сказать своему учителю, что она разбила лампочку	Пока Анна проверяла схему, она уронила лампочку. Что может быть самым безопасным для Анны?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663f57ac2f37319211ed96	00028677a5--656635d172d52b5a0213febb	00028677a5--65663f57ac2f37319211ed96	00028677a5--65663f57ac2f37319211ed8b	aa3fa1505c49a040598dcf58b219bd2e	APPROVED	2023-11-28T19:28:23.874	2023-11-28T19:29:44.797	2023-11-28T19:29:44.797	0.0300000000
определение места разрезания дерева на куски	удаление лишних гвоздей из дерева	соединение различных деревянных частей вместе	выбор дерева	Дина использует множество инструментов, чтобы построить собачью будку. Для чего из следующего Дина, вероятнее всего, воспользуется рулеткой при строительстве собачьей будки?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f57ac2f37319211ed96	00028677a5--656635e893eb880e6311dbbe	00028677a5--65663f57ac2f37319211ed96	00028677a5--65663f57ac2f37319211ed8b	aa3fa1505c49a040598dcf58b219bd2e	APPROVED	2023-11-28T19:28:23.874	2023-11-28T19:29:44.797	2023-11-28T19:29:44.797	0.0300000000
высыхание озера	увеличение глубины озера	рост водорослей в озере	загустевание воды в озере	Сток с хозяйств, использующих удобрения, попадает в небольшое озеро. Это самым прямым образом повлияет на озеро, вызвая	D				https://platform.toloka.ai/task/42366885/00028677a5--65663f57ac2f37319211ed96	00028677a5--656635e693eb880e6311da02	00028677a5--65663f57ac2f37319211ed96	00028677a5--65663f57ac2f37319211ed8b	aa3fa1505c49a040598dcf58b219bd2e	APPROVED	2023-11-28T19:28:23.874	2023-11-28T19:29:44.797	2023-11-28T19:29:44.797	0.0300000000
Один цикл фаз луны	Желудь, вырастающий во взрослое дерево	Один цикл океанских приливов	Гусеница превращается в бабочку	На наблюдение за чем из этого уйдет БОЛЬШЕ ВСЕГО времени?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663f57cfe2fd19c7dcdadb	00028677a5--656635e693eb880e6311da4f	00028677a5--65663f57cfe2fd19c7dcdadb	00028677a5--65663f57cfe2fd19c7dcdad6	fd9c0232aaf8e148a3709d8da841f903	APPROVED	2023-11-28T19:28:23.085	2023-11-28T19:28:45.764	2023-11-28T19:28:45.764	0.0320000000
световую	звуковую	механическую	электрическую	Какой тип энергии человек использует, чтобы крутить педали велосипеда?	C	C			https://platform.toloka.ai/task/42366885/00028677a5--65663f57cfe2fd19c7dcdadb	00028677a5--656635d172d52b5a0213fed4	00028677a5--65663f57cfe2fd19c7dcdadb	00028677a5--65663f57cfe2fd19c7dcdad6	fd9c0232aaf8e148a3709d8da841f903	APPROVED	2023-11-28T19:28:23.085	2023-11-28T19:28:45.764	2023-11-28T19:28:45.764	0.0320000000
рептилии	птицы	млекопитающие	земноводные	Один класс животных вылупляется из яйца, в молодом возрасте дышит через жабры, а будучи взрослым, в основном живет на суше. К какой группе относится это животное?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663f57cfe2fd19c7dcdadb	00028677a5--656635e893eb880e6311db9a	00028677a5--65663f57cfe2fd19c7dcdadb	00028677a5--65663f57cfe2fd19c7dcdad6	fd9c0232aaf8e148a3709d8da841f903	APPROVED	2023-11-28T19:28:23.085	2023-11-28T19:28:45.764	2023-11-28T19:28:45.764	0.0320000000
высыхание озера	увеличение глубины озера	рост водорослей в озере	загустевание воды в озере	Сток с хозяйств, использующих удобрения, попадает в небольшое озеро. Это самым прямым образом повлияет на озеро, вызвая	D				https://platform.toloka.ai/task/42366885/00028677a5--65663f5873f0bd2e80da743a	00028677a5--656635e693eb880e6311da02	00028677a5--65663f5873f0bd2e80da743a	00028677a5--65663f5873f0bd2e80da7435	da06a76def314a457ecb7114bc1be1b4	APPROVED	2023-11-28T19:28:24.521	2023-11-28T19:30:43.601	2023-11-28T19:30:43.601	0.0320000000
Оба вызваны изменениями тепловой энергии	Оба вызывают повышение температуры воздуха	Оба вызваны потеплением атмосферы	Оба вызывают снижение температуры воздуха	Чем похожи испарение и конденсация?	C	A			https://platform.toloka.ai/task/42366885/00028677a5--65663f5873f0bd2e80da743a	00028677a5--656635d172d52b5a0213fee4	00028677a5--65663f5873f0bd2e80da743a	00028677a5--65663f5873f0bd2e80da7435	da06a76def314a457ecb7114bc1be1b4	APPROVED	2023-11-28T19:28:24.521	2023-11-28T19:30:43.601	2023-11-28T19:30:43.601	0.0320000000
Оба организма погибают, если удалить зеленые части	Оба организма используют зеленые части для движения	Зеленые части обоих организмов светятся	Зеленые части обоих организмов могут создавать больше зеленых частей	Студент замечает, что одноклеточный организм и лист растения имеют одинаковые зеленые части. Студент думает, что оба организма используют зеленые части для жизни. Какие доказательства подтверждают вывод о том, что обоим организмам для жизни нужны зеленые части?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f5873f0bd2e80da743a	00028677a5--656635e993eb880e6311dc49	00028677a5--65663f5873f0bd2e80da743a	00028677a5--65663f5873f0bd2e80da7435	da06a76def314a457ecb7114bc1be1b4	APPROVED	2023-11-28T19:28:24.521	2023-11-28T19:30:43.601	2023-11-28T19:30:43.601	0.0320000000
звуковая	магнитная	механическая	электрическая	Какая форма энергии используется, когда человек толкает деревянный брусок по полу?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f59ac2f37319211edfe	00028677a5--656635e793eb880e6311dad6	00028677a5--65663f59ac2f37319211edfe	00028677a5--65663f59ac2f37319211edfc	8179b955d7706457ac3698566f59d9cf	APPROVED	2023-11-28T19:28:25.909	2023-11-28T19:28:55.793	2023-11-28T19:28:55.793	0.0300000000
новейшая звезда	самая большая звезда	ближайшая звезда	самая горячая звезда	С Земли Солнце кажется ярче, чем любая другая звезда, потому что Солнце -	C	C			https://platform.toloka.ai/task/42366885/00028677a5--65663f59ac2f37319211edfe	00028677a5--656635d172d52b5a0213feae	00028677a5--65663f59ac2f37319211edfe	00028677a5--65663f59ac2f37319211edfc	8179b955d7706457ac3698566f59d9cf	APPROVED	2023-11-28T19:28:25.909	2023-11-28T19:28:55.793	2023-11-28T19:28:55.793	0.0300000000
цвет объекта	масса объекта	материал, из которого сделан объект	скорость погружения объекта в воду	Какое свойство объекта определяет, насколько хорошо он проводит электричество?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f59ac2f37319211edfe	00028677a5--656635e793eb880e6311da66	00028677a5--65663f59ac2f37319211edfe	00028677a5--65663f59ac2f37319211edfc	8179b955d7706457ac3698566f59d9cf	APPROVED	2023-11-28T19:28:25.909	2023-11-28T19:28:55.793	2023-11-28T19:28:55.793	0.0300000000
взять новую лампочку, чтобы закончить тест	спрятать разбитое стекло под стол	попросить своего партнера помочь подобрать разбитое стекло	сказать своему учителю, что она разбила лампочку	Пока Анна проверяла схему, она уронила лампочку. Что может быть самым безопасным для Анны?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663f5a2eae777d4142ee71	00028677a5--656635d172d52b5a0213febb	00028677a5--65663f5a2eae777d4142ee71	00028677a5--65663f5a2eae777d4142ee6c	171cd60ca65294e8102e74f289fc715f	APPROVED	2023-11-28T19:28:26.067	2023-11-28T19:29:07.313	2023-11-28T19:29:07.313	0.0300000000
обезьяна	лев	олень	собака	У какого из этих животных зубы больше всего похожи на зубы человека?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f5a2eae777d4142ee71	00028677a5--656635e993eb880e6311dc31	00028677a5--65663f5a2eae777d4142ee71	00028677a5--65663f5a2eae777d4142ee6c	171cd60ca65294e8102e74f289fc715f	APPROVED	2023-11-28T19:28:26.067	2023-11-28T19:29:07.313	2023-11-28T19:29:07.313	0.0300000000
цвет	текстура	вкус	запах	Студент достает сумку с предметами. Какие свойства предметов можно наблюдать, используя только осязание?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f5a2eae777d4142ee71	00028677a5--656635e893eb880e6311db38	00028677a5--65663f5a2eae777d4142ee71	00028677a5--65663f5a2eae777d4142ee6c	171cd60ca65294e8102e74f289fc715f	APPROVED	2023-11-28T19:28:26.067	2023-11-28T19:29:07.313	2023-11-28T19:29:07.313	0.0300000000
высота	количество листьев	тип семян	ширина ствола	В рамках своего учебного проекта Виктор начал изучение кленов в городе. Он заметил много различий между кленами возле своей школы. Какая из следующих трех характеристик будет разниться МЕНЬШЕ ВСЕГО?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f5b73f0bd2e80da74a4	00028677a5--656635e693eb880e6311d99c	00028677a5--65663f5b73f0bd2e80da74a4	00028677a5--65663f5b73f0bd2e80da74a2	4640e579c3bacb78ccec2f7cb1351918	APPROVED	2023-11-28T19:28:27.024	2023-11-28T19:29:46.443	2023-11-28T19:29:46.443	0.0300000000
высыхание озера	увеличение глубины озера	рост водорослей в озере	загустевание воды в озере	Сток с хозяйств, использующих удобрения, попадает в небольшое озеро. Это самым прямым образом повлияет на озеро, вызвая	D				https://platform.toloka.ai/task/42366885/00028677a5--65663f5b73f0bd2e80da74a4	00028677a5--656635e693eb880e6311da02	00028677a5--65663f5b73f0bd2e80da74a4	00028677a5--65663f5b73f0bd2e80da74a2	4640e579c3bacb78ccec2f7cb1351918	APPROVED	2023-11-28T19:28:27.024	2023-11-28T19:29:46.443	2023-11-28T19:29:46.443	0.0300000000
гравий	песок	трава	асфальт	Четвероклассники планируют забег на роликах. Какое покрытие было бы лучшим для этой гонки?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663f5b73f0bd2e80da74a4	00028677a5--656635d172d52b5a0213feb0	00028677a5--65663f5b73f0bd2e80da74a4	00028677a5--65663f5b73f0bd2e80da74a2	4640e579c3bacb78ccec2f7cb1351918	APPROVED	2023-11-28T19:28:27.024	2023-11-28T19:29:46.443	2023-11-28T19:29:46.443	0.0300000000
через химическое вещество под названием хлорофилл	через систему трубок	с помощью фотосинтеза	превращая воду в пищу	Что из следующего лучше всего объясняет, как стебли переносят воду к другим частям растения?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663f5bcb94b61ac9a7d5e5	00028677a5--656635d172d52b5a0213fec2	00028677a5--65663f5bcb94b61ac9a7d5e5	00028677a5--65663f5bcb94b61ac9a7d5e3	c91b3352ef49517569e6cf896343ad5c	APPROVED	2023-11-28T19:28:27.677	2023-11-28T19:29:27.964	2023-11-28T19:29:27.964	0.0300000000
высыхание озера	увеличение глубины озера	рост водорослей в озере	загустевание воды в озере	Сток с хозяйств, использующих удобрения, попадает в небольшое озеро. Это самым прямым образом повлияет на озеро, вызвая	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f5bcb94b61ac9a7d5e5	00028677a5--656635e693eb880e6311da02	00028677a5--65663f5bcb94b61ac9a7d5e5	00028677a5--65663f5bcb94b61ac9a7d5e3	c91b3352ef49517569e6cf896343ad5c	APPROVED	2023-11-28T19:28:27.677	2023-11-28T19:29:27.964	2023-11-28T19:29:27.964	0.0300000000
Оба организма погибают, если удалить зеленые части	Оба организма используют зеленые части для движения	Зеленые части обоих организмов светятся	Зеленые части обоих организмов могут создавать больше зеленых частей	Студент замечает, что одноклеточный организм и лист растения имеют одинаковые зеленые части. Студент думает, что оба организма используют зеленые части для жизни. Какие доказательства подтверждают вывод о том, что обоим организмам для жизни нужны зеленые части?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f5bcb94b61ac9a7d5e5	00028677a5--656635e993eb880e6311dc49	00028677a5--65663f5bcb94b61ac9a7d5e5	00028677a5--65663f5bcb94b61ac9a7d5e3	c91b3352ef49517569e6cf896343ad5c	APPROVED	2023-11-28T19:28:27.677	2023-11-28T19:29:27.964	2023-11-28T19:29:27.964	0.0300000000
Один цикл фаз луны	Желудь, вырастающий во взрослое дерево	Один цикл океанских приливов	Гусеница превращается в бабочку	На наблюдение за чем из этого уйдет БОЛЬШЕ ВСЕГО времени?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663f5c73f0bd2e80da74db	00028677a5--656635e693eb880e6311da4f	00028677a5--65663f5c73f0bd2e80da74db	00028677a5--65663f5c73f0bd2e80da74d7	49304f804e2402703b5085e925794639	APPROVED	2023-11-28T19:28:28.772	2023-11-28T19:29:07.112	2023-11-28T19:29:07.112	0.0300000000
определение места разрезания дерева на куски	удаление лишних гвоздей из дерева	соединение различных деревянных частей вместе	выбор дерева	Дина использует множество инструментов, чтобы построить собачью будку. Для чего из следующего Дина, вероятнее всего, воспользуется рулеткой при строительстве собачьей будки?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f5c73f0bd2e80da74db	00028677a5--656635e893eb880e6311dbbe	00028677a5--65663f5c73f0bd2e80da74db	00028677a5--65663f5c73f0bd2e80da74d7	49304f804e2402703b5085e925794639	APPROVED	2023-11-28T19:28:28.772	2023-11-28T19:29:07.112	2023-11-28T19:29:07.112	0.0300000000
кварц	сера	кальцит	полевой шпат	У какого минерала есть шестигранные прозрачные кристаллы, которые могут поцарапать стекло?	C	A			https://platform.toloka.ai/task/42366885/00028677a5--65663f5c73f0bd2e80da74db	00028677a5--656635d172d52b5a0213fede	00028677a5--65663f5c73f0bd2e80da74db	00028677a5--65663f5c73f0bd2e80da74d7	49304f804e2402703b5085e925794639	APPROVED	2023-11-28T19:28:28.772	2023-11-28T19:29:07.112	2023-11-28T19:29:07.112	0.0300000000
, увеличивая производство продуктов питания	, вызывая землетрясения	вызывая эрозию	, увеличивая рост трав	В 2021 году ураган обрушился на берег Чёрного моря. Ураган отрицательно влияет на береговую линию,	C	C			https://platform.toloka.ai/task/42366885/00028677a5--65663f5f2eae777d4142efa4	00028677a5--656635d172d52b5a0213feed	00028677a5--65663f5f2eae777d4142efa4	00028677a5--65663f5f2eae777d4142ef99	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:28:31.326	2023-11-28T19:29:40.955	2023-11-28T19:29:40.955	0.0300000000
цвет	текстура	вкус	запах	Студент достает сумку с предметами. Какие свойства предметов можно наблюдать, используя только осязание?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663f5f2eae777d4142efa4	00028677a5--656635e893eb880e6311db38	00028677a5--65663f5f2eae777d4142efa4	00028677a5--65663f5f2eae777d4142ef99	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:28:31.326	2023-11-28T19:29:40.955	2023-11-28T19:29:40.955	0.0300000000
высота	количество листьев	тип семян	ширина ствола	В рамках своего учебного проекта Виктор начал изучение кленов в городе. Он заметил много различий между кленами возле своей школы. Какая из следующих трех характеристик будет разниться МЕНЬШЕ ВСЕГО?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f5f2eae777d4142efa4	00028677a5--656635e693eb880e6311d99c	00028677a5--65663f5f2eae777d4142efa4	00028677a5--65663f5f2eae777d4142ef99	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:28:31.326	2023-11-28T19:29:40.955	2023-11-28T19:29:40.955	0.0300000000
Дождь	Лед	Мороз	Пар	Что из этого является примером жидкой воды?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663f5fac2f37319211f301	00028677a5--656635d172d52b5a0213fee2	00028677a5--65663f5fac2f37319211f301	00028677a5--65663f5fac2f37319211f2fa	824981a5decb5513777c4c90d10e6f8f	APPROVED	2023-11-28T19:28:31.601	2023-11-28T19:29:05.909	2023-11-28T19:29:05.909	0.0300000000
обезьяна	лев	олень	собака	У какого из этих животных зубы больше всего похожи на зубы человека?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f5fac2f37319211f301	00028677a5--656635e993eb880e6311dc31	00028677a5--65663f5fac2f37319211f301	00028677a5--65663f5fac2f37319211f2fa	824981a5decb5513777c4c90d10e6f8f	APPROVED	2023-11-28T19:28:31.601	2023-11-28T19:29:05.909	2023-11-28T19:29:05.909	0.0300000000
звуковая	магнитная	механическая	электрическая	Какая форма энергии используется, когда человек толкает деревянный брусок по полу?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f5fac2f37319211f301	00028677a5--656635e793eb880e6311dad6	00028677a5--65663f5fac2f37319211f301	00028677a5--65663f5fac2f37319211f2fa	824981a5decb5513777c4c90d10e6f8f	APPROVED	2023-11-28T19:28:31.601	2023-11-28T19:29:05.909	2023-11-28T19:29:05.909	0.0300000000
обезьяна	лев	олень	собака	У какого из этих животных зубы больше всего похожи на зубы человека?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f60edc5b13fcc9c9e2b	00028677a5--656635e993eb880e6311dc31	00028677a5--65663f60edc5b13fcc9c9e2b	00028677a5--65663f60edc5b13fcc9c9e27	d02ade56de7ac18fe4140bd1d77aac65	APPROVED	2023-11-28T19:28:32.191	2023-11-28T19:28:59	2023-11-28T19:28:59	0.0300000000
газообразного на жидкое	жидкого на твердое	твердого на жидкое	твердого на газообразное	Когда кубик льда тает, его материальное состояние меняется с	C	C			https://platform.toloka.ai/task/42366885/00028677a5--65663f60edc5b13fcc9c9e2b	00028677a5--656635d172d52b5a0213fec8	00028677a5--65663f60edc5b13fcc9c9e2b	00028677a5--65663f60edc5b13fcc9c9e27	d02ade56de7ac18fe4140bd1d77aac65	APPROVED	2023-11-28T19:28:32.191	2023-11-28T19:28:59	2023-11-28T19:28:59	0.0300000000
Солнце далеко	Кубик льда твердый	Солнце выделяет тепло	Кубик льда выглядит прозрачным	Кубик льда, помещенный на солнечный свет, быстро тает. Что лучше всего объясняет это событие?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f60edc5b13fcc9c9e2b	00028677a5--656635e693eb880e6311da1e	00028677a5--65663f60edc5b13fcc9c9e2b	00028677a5--65663f60edc5b13fcc9c9e27	d02ade56de7ac18fe4140bd1d77aac65	APPROVED	2023-11-28T19:28:32.191	2023-11-28T19:28:59	2023-11-28T19:28:59	0.0300000000
цвет	текстура	вкус	запах	Студент достает сумку с предметами. Какие свойства предметов можно наблюдать, используя только осязание?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663f60edc5b13fcc9c9e30	00028677a5--656635e893eb880e6311db38	00028677a5--65663f60edc5b13fcc9c9e30	00028677a5--65663f60edc5b13fcc9c9e2a	c5cb59784e428f355141e8c7273e8d6d	APPROVED	2023-11-28T19:28:32.249	2023-11-28T19:35:29.686	2023-11-28T19:35:29.686	0.0320000000
звуковая	магнитная	механическая	электрическая	Какая форма энергии используется, когда человек толкает деревянный брусок по полу?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f60edc5b13fcc9c9e30	00028677a5--656635e793eb880e6311dad6	00028677a5--65663f60edc5b13fcc9c9e30	00028677a5--65663f60edc5b13fcc9c9e2a	c5cb59784e428f355141e8c7273e8d6d	APPROVED	2023-11-28T19:28:32.249	2023-11-28T19:35:29.686	2023-11-28T19:35:29.686	0.0320000000
Солнце летом греет сильнее	Северное полушарие наклонено от Солнца зимой	Северное полушарие ближе к Солнцу зимой	Солнце летом движется за горизонт	Зимой в России световой день меньше, чем летом. Какое утверждение лучше всего объясняет, почему возникает эта разница?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663f60edc5b13fcc9c9e30	00028677a5--656635d172d52b5a0213fec6	00028677a5--65663f60edc5b13fcc9c9e30	00028677a5--65663f60edc5b13fcc9c9e2a	c5cb59784e428f355141e8c7273e8d6d	APPROVED	2023-11-28T19:28:32.249	2023-11-28T19:35:29.686	2023-11-28T19:35:29.686	0.0320000000
высота	количество листьев	тип семян	ширина ствола	В рамках своего учебного проекта Виктор начал изучение кленов в городе. Он заметил много различий между кленами возле своей школы. Какая из следующих трех характеристик будет разниться МЕНЬШЕ ВСЕГО?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f61ac2f37319211f6ae	00028677a5--656635e693eb880e6311d99c	00028677a5--65663f61ac2f37319211f6ae	00028677a5--65663f61ac2f37319211f666	ff8b2136b6f8dfa17d5240391c9bc069	APPROVED	2023-11-28T19:28:33.872	2023-11-28T19:30:04.132	2023-11-28T19:30:04.132	0.0320000000
определение места разрезания дерева на куски	удаление лишних гвоздей из дерева	соединение различных деревянных частей вместе	выбор дерева	Дина использует множество инструментов, чтобы построить собачью будку. Для чего из следующего Дина, вероятнее всего, воспользуется рулеткой при строительстве собачьей будки?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f61ac2f37319211f6ae	00028677a5--656635e893eb880e6311dbbe	00028677a5--65663f61ac2f37319211f6ae	00028677a5--65663f61ac2f37319211f666	ff8b2136b6f8dfa17d5240391c9bc069	APPROVED	2023-11-28T19:28:33.872	2023-11-28T19:30:04.132	2023-11-28T19:30:04.132	0.0320000000
лист	цветок	корень	стебель	Какая часть растения больше всего отвечает за использование энергии Солнца для производства пищи для растения?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663f61ac2f37319211f6ae	00028677a5--656635d172d52b5a0213feb2	00028677a5--65663f61ac2f37319211f6ae	00028677a5--65663f61ac2f37319211f666	ff8b2136b6f8dfa17d5240391c9bc069	APPROVED	2023-11-28T19:28:33.872	2023-11-28T19:30:04.132	2023-11-28T19:30:04.132	0.0320000000
цвет	текстура	вкус	запах	Студент достает сумку с предметами. Какие свойства предметов можно наблюдать, используя только осязание?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663f62edc5b13fcc9c9e52	00028677a5--656635e893eb880e6311db38	00028677a5--65663f62edc5b13fcc9c9e52	00028677a5--65663f62edc5b13fcc9c9e50	a0720b0fb5ef76bb64956106bbbccfbb	APPROVED	2023-11-28T19:28:34.103	2023-11-28T19:29:22.373	2023-11-28T19:29:22.373	0.0320000000
Солнце далеко	Кубик льда твердый	Солнце выделяет тепло	Кубик льда выглядит прозрачным	Кубик льда, помещенный на солнечный свет, быстро тает. Что лучше всего объясняет это событие?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f62edc5b13fcc9c9e52	00028677a5--656635e693eb880e6311da1e	00028677a5--65663f62edc5b13fcc9c9e52	00028677a5--65663f62edc5b13fcc9c9e50	a0720b0fb5ef76bb64956106bbbccfbb	APPROVED	2023-11-28T19:28:34.103	2023-11-28T19:29:22.373	2023-11-28T19:29:22.373	0.0320000000
механическая	электрическая	звуковая	химическая	Какая форма энергии содержится в пище?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663f62edc5b13fcc9c9e52	00028677a5--656635d172d52b5a0213fee9	00028677a5--65663f62edc5b13fcc9c9e52	00028677a5--65663f62edc5b13fcc9c9e50	a0720b0fb5ef76bb64956106bbbccfbb	APPROVED	2023-11-28T19:28:34.103	2023-11-28T19:29:22.373	2023-11-28T19:29:22.373	0.0320000000
магнетизм	трение	сила тяжести	электричество	Какая сила заставляет шарик опускаться на дно стакана с водой?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f62edc5b13fcc9c9e60	00028677a5--656635e793eb880e6311da96	00028677a5--65663f62edc5b13fcc9c9e60	00028677a5--65663f62edc5b13fcc9c9e5d	315a777cdce4fd7adf6beea29043677e	APPROVED	2023-11-28T19:28:34.801	2023-11-28T19:29:05.688	2023-11-28T19:29:05.688	0.0300000000
Лето в Волгограде жаркое и сухое	Сегодня в Перми температура 12 ° C	Зимы в Норильске холодные и снежные	Солнце зайдет сегодня в Москве в 18:45	Какое утверждение является описанием погоды?	C	B			https://platform.toloka.ai/task/42366885/00028677a5--65663f62edc5b13fcc9c9e60	00028677a5--656635d172d52b5a0213fec0	00028677a5--65663f62edc5b13fcc9c9e60	00028677a5--65663f62edc5b13fcc9c9e5d	315a777cdce4fd7adf6beea29043677e	APPROVED	2023-11-28T19:28:34.801	2023-11-28T19:29:05.688	2023-11-28T19:29:05.688	0.0300000000
охотится и ест животных	разлагает мертвые растения и животные	мигрирует на зиму	использует воду и солнечный свет для производства пищи	Редуцент - это организм, который	D				https://platform.toloka.ai/task/42366885/00028677a5--65663f62edc5b13fcc9c9e60	00028677a5--656635eb93eb880e6311dd2e	00028677a5--65663f62edc5b13fcc9c9e60	00028677a5--65663f62edc5b13fcc9c9e5d	315a777cdce4fd7adf6beea29043677e	APPROVED	2023-11-28T19:28:34.801	2023-11-28T19:29:05.688	2023-11-28T19:29:05.688	0.0300000000
звуковая	магнитная	механическая	электрическая	Какая форма энергии используется, когда человек толкает деревянный брусок по полу?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f6373f0bd2e80da7601	00028677a5--656635e793eb880e6311dad6	00028677a5--65663f6373f0bd2e80da7601	00028677a5--65663f6373f0bd2e80da75ff	5b88623383ed285715fe43085d3002b8	APPROVED	2023-11-28T19:28:35.148	2023-11-28T19:29:17.309	2023-11-28T19:29:17.309	0.0320000000
обезьяна	лев	олень	собака	У какого из этих животных зубы больше всего похожи на зубы человека?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f6373f0bd2e80da7601	00028677a5--656635e993eb880e6311dc31	00028677a5--65663f6373f0bd2e80da7601	00028677a5--65663f6373f0bd2e80da75ff	5b88623383ed285715fe43085d3002b8	APPROVED	2023-11-28T19:28:35.148	2023-11-28T19:29:17.309	2023-11-28T19:29:17.309	0.0320000000
